countyFIPS,CountyName,State,StateFIPS,Area,Total_cases,Total_deaths,pop,age,PercCollege,PercVets,Unemployment_rate,HighMaskUsage,violent_crime
1001,Autauga County,AL,1,594.4437,2267,30,55380,38.2,23.6006,9.5197,3.4,0.739,1431
1003,Baldwin County,AL,1,1589.8226,7188,83,212830,43,29.3305,9.2388,3.7,0.759,2923
1005,Barbour County,AL,1,885.008,1092,9,25361,40.4,13.3039,5.2364,5.6,0.692,660
1007,Bibb County,AL,1,622.4613,924,16,22493,40.9,12.7462,6.3709,4.4,0.85,374
1009,Blount County,AL,1,644.8307,2286,26,57681,40.7,17.6765,5.924,2.6,0.653,1202
1011,Bullock County,AL,1,622.8121,663,17,10248,40.2,11.4559,2.6054,4.5,0.786,240
1013,Butler County,AL,1,776.8385,1046,41,19828,40.8,16.3758,5.0989,5.9,0.588,586
1015,Calhoun County,AL,1,605.8697,5153,67,114618,39.6,18.4037,8.4289,4.7,0.609,2883
1017,Chambers County,AL,1,596.5609,1483,48,33660,42,15.9893,6.2448,4.3,0.696,1103
1019,Cherokee County,AL,1,553.5251,836,15,25903,46.5,15.4113,7.2694,2.6,0.678,525
1021,Chilton County,AL,1,692.8515,2001,35,44055,38.7,14.0415,5.7723,3.1,0.812,1039
1023,Choctaw County,AL,1,913.4675,407,12,12925,46.3,16.5493,6.8781,4.2,0.787,192
1025,Clarke County,AL,1,1238.4204,1435,18,24128,42.5,14.0542,4.8657,6.1,0.698,591
1027,Clay County,AL,1,603.961,812,13,13337,43.3,14.2461,4.7387,2.8,0.498,210
1029,Cleburne County,AL,1,560.1044,622,11,14916,43.1,14.8431,4.6728,2.6,0.585,141
1031,Coffee County,AL,1,678.9861,1970,12,51662,39.3,23.6576,12.1656,2.8,0.652,1077
1033,Colbert County,AL,1,592.7449,2450,33,54771,42.4,18.3528,7.0165,4,0.669,1409
1035,Conecuh County,AL,1,850.2,604,13,12394,44.8,14.6442,4.6393,4.9,0.591,334
1037,Coosa County,AL,1,650.9106,235,3,10757,48.4,14.4371,8.6548,3.5,0.647,202
1039,Covington County,AL,1,1030.5585,1941,32,37200,43.3,17.7016,7.7903,3,0.557,823
